[2026-04-09T17:23:14.436Z] GET https://yuchenchen-debug.github.io/millisecond-challenge/ → pending (?ms, ?B)
[2026-04-09T17:23:15.219Z] GET https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-4737693030554043 → 200 (217ms, 195522B)
[2026-04-09T17:23:15.219Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;700;800&family=Noto+Sans+TC:wght@400;700;900&display=swap → 200 (95ms, 369693B)
[2026-04-09T17:23:15.219Z] GET https://www.googletagmanager.com/gtag/js?id=G-XW1MRWJR2G → pending (?ms, ?B)
[2026-04-09T17:23:15.219Z] GET https://www.gstatic.com/firebasejs/10.12.2/firebase-app-compat.js → 200 (110ms, 31444B)
[2026-04-09T17:23:15.219Z] GET https://www.gstatic.com/firebasejs/10.12.2/firebase-database-compat.js → 200 (126ms, 166145B)
[2026-04-09T17:23:15.432Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.118.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.433Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9i1OCEKIfVZ1w.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.433Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.433Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.6.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.433Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.19.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.433Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.119.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.433Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.116.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.433Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.113.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.433Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.115.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.433Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.117.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.433Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.87.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.433Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.0.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.433Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.112.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.434Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.114.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.434Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.111.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:15.449Z] GET https://pagead2.googlesyndication.com/pagead/managed/js/adsense/m202604060101/show_ads_impl.js → pending (?ms, ?B)
[2026-04-09T17:23:15.669Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-XW1MRWJR2G&gtm=45je6480v9248907308za200zd9248907308&_p=1775755395370&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=1451505222.1775755396&frm=0&pscdl=noapi&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=15.7.4&uaw=0&ul=en-us&_s=1&tag_exp=0~115938465~115938469~117266401~118442252&sid=1775755395&sct=1&seg=0&dl=https%3A%2F%2Fyuchenchen-debug.github.io%2Fmillisecond-challenge%2F&dt=Millisecond%20%E2%80%94%20What%20percentile%20are%20you%3F&en=page_view&_fv=1&_nsi=1&_ss=1&_ee=1&tfd=1233 → 204 (105ms, ?B)
[2026-04-09T17:23:15.704Z] GET https://googleads.g.doubleclick.net/pagead/html/r20260407/r20190131/zrt_lookup.html → 200 (135ms, 9810B)
[2026-04-09T17:23:15.713Z] GET https://pagead2.googlesyndication.com/pagead/gen_204?id=ach_evt&tn=DIV&id=ad-slot&cls=ad-slot&ign=false&pw=1280&ph=720&x=1255&y=695 → 204 (62ms, ?B)
[2026-04-09T17:23:15.713Z] GET https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-4737693030554043&output=html&adk=1812271804&adf=3025194257&lmt=1775755354&plat=1%3A16777216%2C4%3A16%2C9%3A32776%2C16%3A8388608%2C17%3A32%2C24%3A32%2C25%3A32%2C30%3A1081344%2C32%3A32%2C41%3A32%2C42%3A32%2C43%3A32&format=0x0&url=https%3A%2F%2Fyuchenchen-debug.github.io%2Fmillisecond-challenge%2F&pra=5&aiof=9&asro=0&aiapmd=0.0001&aiapmid=0.0001&aiactd=0&aicctd=0&ailctd=0&aimartd=4&aieuf=1&aicrs=1&uach=WyJtYWNPUyIsIjE1LjcuNCIsImFybSIsIiIsIjE0NS4wLjc2MzIuNiIsbnVsbCwwLG51bGwsIjY0IixbWyJOb3Q6QS1CcmFuZCIsIjk5LjAuMC4wIl0sWyJIZWFkbGVzc0Nocm9tZSIsIjE0NS4wLjc2MzIuNiJdLFsiQ2hyb21pdW0iLCIxNDUuMC43NjMyLjYiXV0sMF0.&abgtt=6&dt=1775755395440&bpp=8&bdt=227&idt=257&shv=r20260407&mjsv=m202604060101&ptt=9&saldr=aa&abxe=1&cookie_enabled=1&eoidce=1&nras=1&correlator=4805336395834&frm=20&pv=2&u_tz=480&u_his=2&u_h=720&u_w=1280&u_ah=720&u_aw=1280&u_cd=24&u_sd=1&dmc=8&adx=-12245933&ady=-12245933&biw=1280&bih=720&scr_x=0&scr_y=0&eid=31097489%2C95387625%2C95386955%2C95386194&oid=2&pvsid=1571873598961929&tmod=337256526&uas=0&nvt=1&fsapi=1&fc=1920&brdim=0%2C0%2C0%2C0%2C1280%2C0%2C1280%2C720%2C1280%2C720&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=32768&bc=31&plas=327x567_l&bz=1&ifi=1&uci=a!1&fsb=1&dtd=272 → 200 (142ms, 603B)
[2026-04-09T17:23:15.728Z] GET https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-4737693030554043&output=html&h=50&slotname=auto&adk=3735373176&adf=2274532132&pi=t.ma~as.auto&w=320&lmt=1775755354&format=320x50&url=https%3A%2F%2Fyuchenchen-debug.github.io%2Fmillisecond-challenge%2F&aiof=9&asro=0&aiapmd=0.0001&aiapmid=0.0001&aiactd=0&aicctd=0&ailctd=0&aimartd=4&aieuf=1&aicrs=1&uach=WyJtYWNPUyIsIjE1LjcuNCIsImFybSIsIiIsIjE0NS4wLjc2MzIuNiIsbnVsbCwwLG51bGwsIjY0IixbWyJOb3Q6QS1CcmFuZCIsIjk5LjAuMC4wIl0sWyJIZWFkbGVzc0Nocm9tZSIsIjE0NS4wLjc2MzIuNiJdLFsiQ2hyb21pdW0iLCIxNDUuMC43NjMyLjYiXV0sMF0.&abgtt=6&dt=1775755395448&bpp=1&bdt=235&idt=270&shv=r20260407&mjsv=m202604060101&ptt=9&saldr=aa&abxe=1&cookie_enabled=1&eoidce=1&prev_fmts=0x0&nras=1&correlator=4805336395834&frm=20&pv=1&u_tz=480&u_his=2&u_h=720&u_w=1280&u_ah=720&u_aw=1280&u_cd=24&u_sd=1&dmc=8&adx=480&ady=666&biw=1280&bih=720&scr_x=0&scr_y=0&eid=31097489%2C95387625%2C95386955%2C95386194&oid=2&pvsid=1571873598961929&tmod=337256526&uas=0&nvt=1&fc=1920&brdim=0%2C0%2C0%2C0%2C1280%2C0%2C1280%2C720%2C1280%2C720&vis=1&rsz=%7C%7CfeE%7C&abl=CF&pfx=0&fu=0&bc=31&plas=327x567_l&bz=1&ifi=2&uci=a!2&fsb=1&dtd=279 → 400 (130ms, 603B)
[2026-04-09T17:23:15.873Z] GET https://ep1.adtrafficquality.google/getconfig/sodar?sv=200&tid=gda&tv=r20260407&st=env&sjk=1571873598961929 → 200 (111ms, 17854B)
[2026-04-09T17:23:15.991Z] GET https://ep2.adtrafficquality.google/sodar/sodar2.js → 200 (82ms, 21535B)
[2026-04-09T17:23:16.076Z] GET https://ep2.adtrafficquality.google/sodar/sodar2/254/runner.html → 200 (26ms, 14627B)
[2026-04-09T17:23:16.079Z] GET https://www.google.com/recaptcha/api2/aframe → 200 (111ms, 829B)
[2026-04-09T17:23:16.108Z] GET https://pagead2.googlesyndication.com/bg/oKkXyuZ0-mB9IUEaj506QBZFu_OrXX_WAj9L76NWpJo.js → 200 (41ms, 58115B)
[2026-04-09T17:23:16.321Z] GET https://ep2.adtrafficquality.google/generate_204?WhK2UA → 204 (2ms, ?B)
[2026-04-09T17:23:16.322Z] GET https://pagead2.googlesyndication.com/pagead/sodar?id=sodar2&v=254&li=gda_r20260407&jk=1571873598961929&rc= → 204 (1ms, ?B)
[2026-04-09T17:23:16.840Z] GET https://ep1.adtrafficquality.google/pagead/sodar?id=sodar2&v=254&t=2&li=gda_r20260407&jk=1571873598961929&bg=!HB-lH33NAAZuQnBWTkI7AEcBe5WfOPj_OrN_M3Ui-LQmRDYn_lW_Hw0gZzuggGIcPYAM9lEyKv-aeS75BgMoe66Z14W70ce7kTXBcIEfDbrVsL-NmyEkWAIAAACrUgAAAAZoAQd-ADY0pdCX7-To4zPg7gtzkIQ49hDMQgyg660Akqlc67zSVvw6McN1hmNkNIFU5WRj1xB7QoDVCK4KAEfpibC5zyFGbCMhjvqmS2tROViaCg21H06SBFjt5U4iTA5KEpUIu_Xw206DJBcnbfNNtXBB_MngHkcjLeoZqwUerovBuosStZkCP2lMJ4ppJ1vJrBDCidGPQSIH_r2ZSxPxwlyltlX4K1u98e_h_1jzFvTy7xdBMl0ErpM5jiYQH2ooDdZJW_NtYgfLvmQnmzEsBepxOqbl_1cnwk3EZfuzlepaGfrMxGDCroeNGwkJSroS-kAfRQNXlby6E0j74tkFqoI-RRGExUgclhJ5WPwU99wKpS3W7ltM12lBjFsamjeyakr2Ix_VCJ6dO_xJNvz_bbG6YkJmsRqC1tXcaSBPXn0NWXTfqwkj-mTZeHM32YFgTPIHZsv5OI3iMm2t0FQcIMQprkIT-2rHURjnJ8O99qsiDIQeeksZGNSQMCk8EnHUdirY32haiazuZU_JjN3O5IaVTScRJ9mTi5lKExYMwejiA8DWBd4COG59jdiqDyPT40q8CJeQb1X1yHd0GIHbU15dsR-xUcafJRiVFQEfBs2zRjbj0RChWg53mgWzDBJQO2I4t2UGRflYa6GCgSHqefqc0OO2sqCsSuehkP6J8ExakHD_81llRPu6k5lif2FWCNNfIEpE4dTn7VgOlQ80cRR9KQpW9CqOdf7EYLtAAFV3QGerzL_UvXkr1j0TII_ZYhCK6lJYPckLuonFwC1NEZ6yHU53eXHi0ItRGC9RRsGsOZyZzgEKhhalsarh_9jMJ2cQULMvdmslW-S58c42991p_TnXm46mwBGhSJDOUJZxJxMRJOty4rj5wDz0XpxbHOyx1BwrVgwfCK_u5yMjatvDqEFcsQiNLI8biRd5jic4mdZ0RMRq → 204 (81ms, ?B)
[2026-04-09T17:23:18.523Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.36.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:18.523Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.104.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:18.523Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.103.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:18.523Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.108.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:18.523Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.68.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:18.523Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.28.woff2 → pending (?ms, ?B)
[2026-04-09T17:23:18.523Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.101.woff2 → pending (?ms, ?B)
